0,1,2,3,4,5,6,7,8,9,10
pip fruit,bottled water,,,,,,,,,
domestic eggs,salty snack,herbs,,,,,,,,
beef,frankfurter,chewing gum,margarine,chewing gum,detergent,,,,,
coffee,coffee,,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
chicken,rolls/buns,,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
brown bread,soda,,,,,,,,,
grapes,butter,,,,,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
pip fruit,skin care,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
dessert,salty snack,,,,,,,,,
whipped/sour cream,sparkling wine,bottled beer,,,,,,,,
napkins,soda,,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
pip fruit,soda,,,,,,,,,
soda,sliced cheese,,,,,,,,,
onions,bottled beer,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
meat,hamburger meat,,,,,,,,,
soda,rolls/buns,,,,,,,,,
misc. beverages,packaged fruit/vegetables,,,,,,,,,
brown bread,newspapers,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
margarine,shopping bags,,,,,,,,,
photo/film,cream cheese ,,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
onions,abrasive cleaner,,,,,,,,,
rolls/buns,soda,,,,,,,,,
pastry,pip fruit,rolls/buns,yogurt,,,,,,,
citrus fruit,brown bread,pastry,,,,,,,,
misc. beverages,soft cheese,,,,,,,,,
pork,shopping bags,hygiene articles,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
coffee,soft cheese,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
white bread,photo/film,,,,,,,,,
frankfurter,liver loaf,canned vegetables,condensed milk,,,,,,,
whole milk,whole milk,pastry,pickled vegetables,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
beef,pastry,,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
semi-finished bread,berries,,,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
pastry,pasta,,,,,,,,,
meat,canned beer,,,,,,,,,
chocolate,whole milk,,,,,,,,,
pet care,flour,coffee,napkins,,,,,,,
soda,butter milk,whipped/sour cream,,,,,,,,
whole milk,chocolate,,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
coffee,soda,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
shopping bags,coffee,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
pip fruit,vinegar,,,,,,,,,
fish,canned beer,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
hygiene articles,bottled water,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
yogurt,pet care,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
brown bread,whipped/sour cream,,,,,,,,,
rolls/buns,berries,,,,,,,,,
berries,candy,,,,,,,,,
bottled beer,yogurt,pastry,butter,shopping bags,,,,,,
oil,frozen potato products,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
hygiene articles,vinegar,,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
sausage,curd,,,,,,,,,
chocolate,pastry,,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
tropical fruit,flour,,,,,,,,,
tropical fruit,flour,,,,,,,,,
meat,domestic eggs,,,,,,,,,
male cosmetics,hard cheese,,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
frozen fish,whole milk,,,,,,,,,
butter,soft cheese,,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
specialty cheese,beverages,,,,,,,,,
canned fish,white bread,,,,,,,,,
rolls/buns,curd cheese,Instant food products,,,,,,,,
finished products,ice cream,tropical fruit,whole milk,,,,,,,
other vegetables,shopping bags,,,,,,,,,
onions,butter,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
turkey,yogurt,,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,chicken,waffles,,,,,,,,
bottled water,pastry,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
sausage,roll products ,,,,,,,,,
hamburger meat,condensed milk,,,,,,,,,
butter,yogurt,,,,,,,,,
dish cleaner,ice cream,jam,newspapers,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
meat,pasta,,,,,,,,,
beef,grapes,,,,,,,,,
brown bread,tropical fruit,sugar,,,,,,,,
sausage,yogurt,whole milk,,,,,,,,
root vegetables,fruit/vegetable juice,specialty chocolate,,,,,,,,
dishes,whole milk,oil,onions,,,,,,,
salty snack,dessert,,,,,,,,,
sausage,bottled water,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
shopping bags,butter,,,,,,,,,
sausage,yogurt,,,,,,,,,
hamburger meat,hard cheese,,,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
long life bakery product,newspapers,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
beverages,mustard,yogurt,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
pip fruit,soda,,,,,,,,,
chicken,margarine,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
whole milk,whole milk,pastry,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
soda,bottled water,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
coffee,tidbits,,,,,,,,,
ice cream,curd,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
pork,long life bakery product,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
root vegetables,dessert,,,,,,,,,
meat,whole milk,,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
citrus fruit,frankfurter,tropical fruit,napkins,,,,,,,
whole milk,long life bakery product,,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
canned beer,whole milk,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
sausage,frozen vegetables,,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
brown bread,soda,butter,shopping bags,,,,,,,
root vegetables,white bread,,,,,,,,,
softener,salty snack,,,,,,,,,
pastry,pork,,,,,,,,,
sausage,newspapers,,,,,,,,,
herbs,chewing gum,,,,,,,,,
dessert,whole milk,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
whole milk,bottled water,,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
whole milk,root vegetables,,,,,,,,,
frankfurter,whole milk,other vegetables,root vegetables,,,,,,,
curd,pip fruit,,,,,,,,,
brown bread,herbs,,,,,,,,,
beverages,soda,curd,liquor,whole milk,margarine,flour,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
beef,bottled beer,,,,,,,,,
meat,soda,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
cream cheese ,salt,,,,,,,,,
sugar,coffee,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
cat food,pip fruit,white bread,,,,,,,,
whole milk,whole milk,whole milk,domestic eggs,,,,,,,
soda,soda,,,,,,,,,
pasta,shopping bags,,,,,,,,,
red/blush wine,sugar,,,,,,,,,
fruit/vegetable juice,curd,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
coffee,bottled water,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
detergent,salty snack,,,,,,,,,
soda,seasonal products,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
bottled water,canned beer,,,,,,,,,
butter,candy,,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
bottled water,bottled beer,,,,,,,,,
beef,finished products,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
napkins,popcorn,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
jam,house keeping products,,,,,,,,,
sausage,yogurt,,,,,,,,,
sausage,curd,meat spreads,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
soda,chocolate,,,,,,,,,
bottled water,canned beer,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
brown bread,yogurt,,,,,,,,,
finished products,bottled beer,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
other vegetables,bottled water,shopping bags,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
frozen fruits,dishes,,,,,,,,,
beverages,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
meat,domestic eggs,,,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
whole milk,chocolate,,,,,,,,,
pastry,baking powder,mustard,,,,,,,,
nuts/prunes,soda,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
berries,other vegetables,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
canned beer,napkins,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
beef,canned beer,,,,,,,,,
pork,whole milk,waffles,whole milk,sugar,,,,,,
whole milk,pip fruit,,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
pork,domestic eggs,,,,,,,,,
chicken,soda,,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
soda,bottled water,,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
whole milk,Instant food products,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
yogurt,hygiene articles,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
specialty chocolate,frozen vegetables,other vegetables,cream cheese ,,,,,,,
oil,pork,other vegetables,frozen meals,,,,,,,
beef,salty snack,,,,,,,,,
berries,fruit/vegetable juice,cream cheese ,tropical fruit,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
salt,tropical fruit,newspapers,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
bottled water,other vegetables,,,,,,,,,
coffee,butter,,,,,,,,,
root vegetables,beef,whole milk,curd,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
meat,cling film/bags,curd,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
newspapers,zwieback,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
waffles,specialty bar,,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
frozen meals,dental care,,,,,,,,,
sausage,chocolate,,,,,,,,,
candy,sausage,other vegetables,frozen vegetables,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
soda,sugar,,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
sausage,soda,,,,,,,,,
onions,whole milk,,,,,,,,,
dessert,yogurt,,,,,,,,,
yogurt,pastry,,,,,,,,,
citrus fruit,beef,,,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
misc. beverages,salt,candy,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
whole milk,brandy,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
whole milk,candy,,,,,,,,,
mayonnaise,salt,bottled water,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
pork,canned beer,rolls/buns,yogurt,mustard,oil,popcorn,whipped/sour cream,,,
other vegetables,shopping bags,,,,,,,,,
soda,pip fruit,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
beef,long life bakery product,,,,,,,,,
yogurt,frozen vegetables,waffles,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,pork,,,,,,,,,
bottled water,grapes,,,,,,,,,
sausage,photo/film,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
ice cream,fruit/vegetable juice,,,,,,,,,
ham,soda,,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
root vegetables,mustard,,,,,,,,,
citrus fruit,spread cheese,,,,,,,,,
fish,chocolate,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
whole milk,canned fish,,,,,,,,,
soda,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
other vegetables,bottled water,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
bottled beer,pasta,,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
pip fruit,soda,grapes,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
pip fruit,butter,,,,,,,,,
curd,semi-finished bread,whole milk,,,,,,,,
canned beer,shopping bags,whole milk,,,,,,,,
condensed milk,cat food,,,,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
whole milk,onions,,,,,,,,,
soda,chocolate,,,,,,,,,
shopping bags,newspapers,,,,,,,,,
rolls/buns,soda,soda,flower (seeds),,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
white wine,bottled beer,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
canned beer,brown bread,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
other vegetables,baking powder,,,,,,,,,
root vegetables,rum,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
UHT-milk,root vegetables,cake bar,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
rolls/buns,dessert,coffee,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
beef,pip fruit,,,,,,,,,
berries,pip fruit,,,,,,,,,
rolls/buns,frozen vegetables,roll products ,,,,,,,,
misc. beverages,brown bread,,,,,,,,,
beef,shopping bags,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
other vegetables,berries,whipped/sour cream,,,,,,,,
pet care,mustard,,,,,,,,,
mayonnaise,candy,rolls/buns,bottled beer,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
whole milk,curd,,,,,,,,,
domestic eggs,specialty fat,,,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
chicken,coffee,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
soda,onions,pastry,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
other vegetables,yogurt,,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,white wine,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
sausage,curd,fruit/vegetable juice,,,,,,,,
packaged fruit/vegetables,berries,,,,,,,,,
nut snack,whole milk,,,,,,,,,
pip fruit,berries,,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
chocolate,yogurt,,,,,,,,,
berries,other vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
chicken,waffles,,,,,,,,,
fish,chicken,chicken,UHT-milk,other vegetables,cream cheese ,hard cheese,,,,
other vegetables,napkins,,,,,,,,,
coffee,turkey,margarine,hard cheese,,,,,,,
yogurt,hygiene articles,,,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
root vegetables,whole milk,pastry,,,,,,,,
soda,candy,,,,,,,,,
fish,bottled beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
grapes,whole milk,,,,,,,,,
UHT-milk,specialty cheese,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
root vegetables,dog food,,,,,,,,,
sausage,brown bread,,,,,,,,,
meat,citrus fruit,,,,,,,,,
newspapers,roll products ,,,,,,,,,
chicken,frozen meals,,,,,,,,,
whole milk,sparkling wine,,,,,,,,,
curd cheese,UHT-milk,,,,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
meat,bottled water,abrasive cleaner,,,,,,,,
pickled vegetables,soda,chewing gum,yogurt,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
sausage,ice cream,,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
beverages,pork,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
pork,pastry,,,,,,,,,
bottled beer,fruit/vegetable juice,whole milk,bottled beer,,,,,,,
oil,yogurt,,,,,,,,,
onions,butter,soups,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
white wine,brown bread,,,,,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
chocolate,citrus fruit,bottled beer,bottled water,red/blush wine,,,,,,
yogurt,yogurt,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
chicken,whisky,,,,,,,,,
whole milk,candy,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
shopping bags,rice,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
hamburger meat,soft cheese,pickled vegetables,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
roll products ,rice,,,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
tropical fruit,tropical fruit,mayonnaise,,,,,,,,
other vegetables,pastry,shopping bags,,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
white bread,mustard,,,,,,,,,
citrus fruit,rolls/buns,canned fish,,,,,,,,
oil,butter,,,,,,,,,
soda,soda,,,,,,,,,
brown bread,pastry,canned beer,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
brown bread,sparkling wine,,,,,,,,,
dessert,tropical fruit,,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
frankfurter,fruit/vegetable juice,hard cheese,whole milk,rolls/buns,,,,,,
bottled water,other vegetables,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
sauces,rolls/buns,soda,whipped/sour cream,,,,,,,
pork,cake bar,,,,,,,,,
meat,white bread,,,,,,,,,
candy,whipped/sour cream,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
dessert,pot plants,,,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
frankfurter,newspapers,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
frankfurter,UHT-milk,sliced cheese,,,,,,,,
domestic eggs,whole milk,brown bread,,,,,,,,
cat food,whole milk,turkey,spread cheese,canned beer,berries,long life bakery product,,,,
detergent,rolls/buns,,,,,,,,,
canned vegetables,white bread,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
cake bar,soda,,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
whole milk,bottled beer,,,,,,,,,
brown bread,coffee,,,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
yogurt,whole milk,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
pork,domestic eggs,,,,,,,,,
citrus fruit,fruit/vegetable juice,pickled vegetables,,,,,,,,
whole milk,Instant food products,pip fruit,canned beer,,,,,,,
soda,dog food,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
sauces,misc. beverages,,,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
sausage,semi-finished bread,coffee,,,,,,,,
white wine,sugar,,,,,,,,,
yogurt,red/blush wine,,,,,,,,,
citrus fruit,rolls/buns,brandy,candy,,,,,,,
soda,waffles,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
curd,rolls/buns,,,,,,,,,
canned beer,meat,,,,,,,,,
butter milk,dessert,processed cheese,,,,,,,,
soda,hamburger meat,,,,,,,,,
citrus fruit,pork,other vegetables,yogurt,,,,,,,
soda,bottled water,house keeping products,,,,,,,,
pork,other vegetables,,,,,,,,,
root vegetables,white wine,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
curd,whipped/sour cream,,,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
soda,oil,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
bottled beer,flower (seeds),,,,,,,,,
pip fruit,butter,soda,,,,,,,,
beef,misc. beverages,beef,salty snack,,,,,,,
curd,chicken,,,,,,,,,
brown bread,waffles,,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
hygiene articles,dessert,,,,,,,,,
bottled beer,root vegetables,,,,,,,,,
butter,onions,napkins,,,,,,,,
whole milk,specialty bar,,,,,,,,,
pork,brown bread,,,,,,,,,
beef,pork,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
other vegetables,citrus fruit,semi-finished bread,softener,,,,,,,
root vegetables,white bread,,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
frozen meals,other vegetables,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
pip fruit,pet care,bottled water,,,,,,,,
beverages,cream cheese ,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
long life bakery product,soda,soda,,,,,,,,
sausage,cat food,pastry,,,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
frozen fish,pastry,,,,,,,,,
white bread,root vegetables,,,,,,,,,
seasonal products,soups,,,,,,,,,
ice cream,chocolate,seasonal products,,,,,,,,
canned fish,root vegetables,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
other vegetables,white bread,,,,,,,,,
newspapers,other vegetables,yogurt,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
canned beer,frozen vegetables,,,,,,,,,
pastry,onions,,,,,,,,,
sausage,frankfurter,herbs,rice,,,,,,,
pork,brown bread,,,,,,,,,
oil,waffles,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
whole milk,onions,,,,,,,,,
meat,butter,cleaner,misc. beverages,,,,,,,
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer,,,
cling film/bags,canned vegetables,,,,,,,,,
bottled water,root vegetables,bottled water,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
other vegetables,pot plants,yogurt,salty snack,,,,,,,
ham,whole milk,,,,,,,,,
cooking chocolate,oil,,,,,,,,,
onions,canned beer,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
other vegetables,dessert,,,,,,,,,
red/blush wine,canned fish,,,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
root vegetables,detergent,,,,,,,,,
other vegetables,soda,,,,,,,,,
beef,male cosmetics,,,,,,,,,
bottled beer,other vegetables,waffles,,,,,,,,
onions,grapes,bottled beer,,,,,,,,
ham,canned vegetables,,,,,,,,,
misc. beverages,liquor (appetizer),,,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
sausage,soda,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
frozen meals,rolls/buns,chocolate marshmallow,,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
whole milk,yogurt,newspapers,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
hard cheese,liquor,,,,,,,,,
whole milk,chocolate,,,,,,,,,
yogurt,flour,,,,,,,,,
shopping bags,canned beer,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
citrus fruit,liquor,white bread,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
dessert,brown bread,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
grapes,other vegetables,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
salty snack,sugar,,,,,,,,,
berries,canned fish,,,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
specialty bar,dog food,cream cheese ,,,,,,,,
citrus fruit,flower (seeds),domestic eggs,,,,,,,,
chicken,yogurt,waffles,,,,,,,,
turkey,domestic eggs,,,,,,,,,
ham,pork,pork,soda,,,,,,,
frozen vegetables,pasta,,,,,,,,,
sausage,root vegetables,soda,chocolate marshmallow,,,,,,,
long life bakery product,waffles,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
whole milk,onions,,,,,,,,,
chicken,yogurt,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
bottled water,other vegetables,,,,,,,,,
frozen dessert,soda,,,,,,,,,
sausage,pip fruit,bottled water,,,,,,,,
coffee,berries,grapes,cream cheese ,cat food,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
fruit/vegetable juice,canned beer,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
specialty cheese,napkins,,,,,,,,,
pip fruit,processed cheese,yogurt,,,,,,,,
